deadmau5                                                                                                                                                                                                                                                       ,2CIMQHirSU0MQqyYHq0eOx                                                                                                                                                                                                                                         
Ratatat                                                                                                                                                                                                                                                        ,57dN52uHvrHOxijzpIgu3E                                                                                                                                                                                                                                         
Avicii                                                                                                                                                                                                                                                         ,1vCWHaC5f2uS3yhpwWbIA6                                                                                                                                                                                                                                         
Led Zeppelin                                                                                                                                                                                                                                                   ,36QJpDe2go2KgaRleHCDTp                                                                                                                                                                                                                                         
Metallica                                                                                                                                                                                                                                                      ,2ye2Wgw4gimLv2eAKyk1NB                                                                                                                                                                                                                                         
The Weeknd                                                                                                                                                                                                                                                     ,1Xyo4u8uXC1ZmMpatF05PJ                                                                                                                                                                                                                                         
Ariana Grande                                                                                                                                                                                                                                                  ,66CXWjxzNUsdJxJ2JdwvnR                                                                                                                                                                                                                                         
Queen                                                                                                                                                                                                                                                          ,1dfeR4HaWDbWqFHLkxsg1d                                                                                                                                                                                                                                         
Maroon 5                                                                                                                                                                                                                                                       ,04gDigrS5kc9YWfZHwBETP                                                                                                                                                                                                                                         
Drake                                                                                                                                                                                                                                                          ,3TVXtAsR1Inumwj472S9r4                                                                                                                                                                                                                                         
Ed Sheeran                                                                                                                                                                                                                                                     ,6eUKZXaKkcviH0Ku9w2n3V                                                                                                                                                                                                                                         
Coldplay                                                                                                                                                                                                                                                       ,4gzpq5DPGxSnKTe4SA8HAU                                                                                                                                                                                                                                         
Imagine Dragons                                                                                                                                                                                                                                                ,53XhwfbYqKCa1cC15pYq2q                                                                                                                                                                                                                                         
